company,business_code,sector_code,atoc_code
Virtual European Paths, EU, ?, EU
Unmapped (was Alliance Rail), ZB, 14, AR
Northern Trains, ED, 23, NT
Transport for Wales, HL, 71, AW
c2c, HT, 79, CC
Caledonian Sleeper, ES, 35, CS
Chiltern Railways, HO, 74, CH
CrossCountry, EH, 27, XC
Unmapped (was Northern Spirit), HC, , 
DC Rail, PO, 34, ZZ
East Midlands Railway, EM, 28, EM
Eurostar, GA, 06, ES
Unmapped (was First Capital Connect), EG, 26, FC
Hull Trains, PF, 55, HT
Unmapped (was Gatwick Express), HV, 81, GX
GB Railfreight, PE, 54, ZZ
Govia Thameslink Railway (Great Northern), ET, 88, GN
Govia Thameslink Railway (Thameslink), ET, 88, TL
Elizabeth line, EX, 33, XR
TransPennine Express, EA, 20, TP
Avanti West Coast, HF, 65, VT
London North Eastern Railway, HB, 61, GR
West Coast Railways, PA, 50, WR
JSD Rail Research & Development, RR, 02, ZZ
Victa Westlink Rail (defunct), PV, 03, ZZ
DB Cargo Charters, FM, 04, ZZ
DB Cargo Freight, WA, 05, ZZ
Rail Operations Group, PH, 07, ZZ
DB Cargo International, FD, 08, ZZ
Freightliner Intermodal, FL, 09, ZZ
Serco Rail Operations, FX, 10, ZZ
Freightliner Heavy Haul, DH, 11, ZZ
Freight Europe (defunct), PN, 12, ZZ
Europorte Channel, PT, 13, ZZ
LORAM, LC, 16, ZZ
Hanson & Hall Rail Services, YG, 17, ZZ
Network Rail Virtual Freight Company, QJ, 31, ZZ
Unmapped (was Wrexham and Shropshire), EI, 32, WS
Vintage Trains, TY, 36, TY
Seco Rail (defunct), RU, 37, ZZ
Balfour Beatty Rail, RZ, 40, ZZ
Colas Rail, RG, 42, ZZ
Amey Fleet Services, RE, 43, ZZ
Carillion Rail, RB, 44, ZZ
Lumo, LD, 45, LD
SB (Swietelsky Babcock) Rail, RD, 46, ZZ
VolkerRail, RH, 49, ZZ
Pre Metro Operations, PK, 52, ZZ
SNCF Freight Services, PS, 53, ZZ
Go-Op, GO, 57, 
Unmapped (was Advenza Freight), PI, 58, ZZ
On Route Logistics, PM, 59, ZZ
Railadventure, SO, 11, unknown
Fishbone Solutions, , 62, FS
Grand Union Trains, LF, 12, LF
Legge Infrastructure Services, LG, 72, ZZ
Network Rail Reserved Pathings (non‑QJ), NR, 92, ZZ
Ffestiniog Railway, XJ, 94, 
Direct Rail Services, XH, 97, ZZ
Internal Testing, RM, 98, ZZ
Unmapped, , 96, 
Unmapped (was Anglia Railways), HS, , 
Unmapped (was Silverlink Train Services), HP, , 
Unmapped (was Central Trains), HG, , 
Unmapped (was WAGN), HQ, , 
Unmapped (was First Great Eastern), HR, , 
